name,country,type,date,trip,lat,lng
West Virginia,USA,car,2023-07,,38.5976,-80.4549
Ohio,USA,car,2023-07,,40.4173,-82.9071
Maryland,USA,car,2024-10,,39.0458,-76.6413
France,France,car,2023-11,Europe / S'pore • Oct '23,46.2276,2.2137
Germany,Germany,car,2023-11,Europe / S'pore • Oct '23,51.1657,10.4515
Vatican City,Vatican City,car,2023-11,Europe / S'pore • Oct '23,41.9029,12.4534
Bermuda,Bermuda,ship,2024-06,,32.3078,-64.7505
Indonesia,Indonesia,car,2024-12,Greece / S'pore • Nov '24,1.0640,104.4884
Bahamas,Bahamas,ship,2025-02,Orlando • Jan '25,25.0343,-77.3963
Malaysia,Malaysia,car,2025-08,S'pore • Aug '25,1.5754,104.2340
